Carrera                              ,Puntaje_Minimo ,Cupos ,Año-Periodo
Ingeniería_Civil                     ,      704.2613 ,  110 ,     2015.1
Ingeniería_de_Sistemas_y_Computación ,      703.9401 ,   84 ,     2015.1
Ingeniería_Eléctrica                 ,      680.8843 ,   58 ,     2015.1
Ingeniería_Electrónica               ,      722.2947 ,   58 ,     2015.1
Ingeniería_Industrial                ,      720.7829 ,   48 ,     2015.1
Ingeniería_Mecánica                  ,      706.5198 ,   78 ,     2015.1
Ingeniería_Mecatrónica               ,      773.0707 ,   41 ,     2015.1
Ingeniería_Química                   ,      696.6347 ,  127 ,     2015.1
Lingüística                          ,      630.4991 ,   45 ,     2015.1
Matemáticas                          ,      668.7202 ,   50 ,     2015.1
Medicina                             ,      749.6548 ,  126 ,     2015.1
Medicina_Veterinaria                 ,      651.5644 ,   54 ,     2015.1
Nutrición_y_Dietética                ,      639.7398 ,   51 ,     2015.1
Odontología                          ,      651.8160 ,   53 ,     2015.1
Psicología                           ,      670.1481 ,   80 ,     2015.1
Química                              ,      665.6188 ,   70 ,     2015.1
Sociología                           ,      651.7812 ,   56 ,     2015.1
Terapia_Ocupacional                  ,      622.8868 ,   59 ,     2015.1
Trabajo_Social                       ,      636.7284 ,   46 ,     2015.1
Zootecnia                            ,      624.9857 ,   50 ,     2015.1
Artes_Plasticas                      ,      607.4508 ,   30 ,     2015.1
Cine_y_Television                    ,      617.0164 ,   30 ,     2015.1
Administración_de_Empresas           ,      645.4196 ,   88 ,     2015.6
Antropología                         ,      646.1570 ,   45 ,     2015.6
Arquitectura                         ,      671.1814 ,   76 ,     2015.6
Biología                             ,      670.5920 ,   58 ,     2015.6
Ciencia_Política                     ,      629.4327 ,   84 ,     2015.6
Contaduría_Pública                   ,      627.8887 ,   64 ,     2015.6
Derecho                              ,      652.1400 ,   81 ,     2015.6
Diseño_Gráfico                       ,      691.3971 ,   30 ,     2015.6
Diseño_Industrial                    ,      665.3671 ,   49 ,     2015.6
Economía                             ,      650.1316 ,   93 ,     2015.6
Enfermería                           ,      629.0756 ,   90 ,     2015.6
Español_Y_Filología_Clásica          ,      625.0267 ,   38 ,     2015.6
Estadística                          ,      625.0211 ,   61 ,     2015.6
Farmacia                             ,      642.6718 ,   73 ,     2015.6
Filología_e_Idiomas:_Alemán          ,      629.1281 ,   22 ,     2015.6
Filología_e_Idiomas:_Francés         ,      635.6279 ,   22 ,     2015.6
Filología_e_Idiomas:_Inglés          ,      641.8252 ,   44 ,     2015.6
Filosofía                            ,      625.5526 ,   50 ,     2015.6
Física                               ,      650.2283 ,   72 ,     2015.6
Fisioterapia                         ,      626.3572 ,   55 ,     2015.6
Geografía                            ,      625.3467 ,   44 ,     2015.6
Geología                             ,      726.8179 ,   30 ,     2015.6
Ingeniería_Agrícola                  ,      625.1387 ,   77 ,     2015.6
Ingeniería_Agronómica                ,      624.7984 ,  110 ,     2015.6
Ingeniería_Civil                     ,      683.8091 ,  111 ,     2015.6
Ingeniería_de_Sistemas_y_Computación ,      664.4400 ,   99 ,     2015.6
Ingeniería_Eléctrica                 ,      660.7321 ,   61 ,     2015.6
Ingeniería_Electrónica               ,      687.2901 ,   63 ,     2015.6
Ingeniería_Industrial                ,      691.4998 ,   50 ,     2015.6
Ingeniería_Mecánica                  ,      681.4479 ,   78 ,     2015.6
Ingeniería_Mecatrónica               ,      727.4485 ,   41 ,     2015.6
Ingeniería_Química                   ,      661.9065 ,  127 ,     2015.6
Lingüística                          ,      625.2108 ,   40 ,     2015.6
Matemáticas                          ,      639.9828 ,   64 ,     2015.6
Medicina                             ,      727.9884 ,  127 ,     2015.6
Medicina_Veterinaria                 ,      642.6697 ,   54 ,     2015.6
Nutrición_y_Dietética                ,      625.0547 ,   53 ,     2015.6
Odontología                          ,      633.9242 ,   55 ,     2015.6
Psicología                           ,      657.7490 ,   65 ,     2015.6
Química                              ,      649.4720 ,   70 ,     2015.6
Sociología                           ,      628.3510 ,   56 ,     2015.6
Trabajo_Social                       ,      624.4375 ,   46 ,     2015.6
Zootecnia                            ,      621.2993 ,   50 ,     2015.6
Artes_Plasticas                      ,      675.7700 ,   28 ,     2015.6
Cine_y_Television                    ,      714.8752 ,   28 ,     2015.6
Administración_de_Empresas           ,      665.7784 ,   71 ,     2016.1
Antropología                         ,      651.5817 ,   45 ,     2016.1
Arquitectura                         ,      681.9261 ,   76 ,     2016.1
Biología                             ,      684.4595 ,   58 ,     2016.1
Ciencia_Política                     ,      649.7777 ,   84 ,     2016.1
Contaduría_Pública                   ,      650.3425 ,   62 ,     2016.1
Derecho                              ,      676.8533 ,   81 ,     2016.1
Diseño_Gráfico                       ,      689.4558 ,   30 ,     2016.1
Diseño_Industrial                    ,      672.1865 ,   50 ,     2016.1
Economía                             ,      680.6339 ,   85 ,     2016.1
Enfermería                           ,      646.5992 ,   89 ,     2016.1
Español_Y_Filología_Clásica          ,      627.7220 ,   36 ,     2016.1
Estadística                          ,      650.7542 ,   61 ,     2016.1
